Дата,Банк/КФГД,Депозит,Тип,C/без попол.,процент
30/07/2021,Jusan Bank,SANDYQ+,сберегательный,без пополнения,11%
30/07/2021,Jusan Bank,TULPAR,сберегательный,с пополнениями,8.7%
30/07/2021,Jusan Bank,AQYL,сберегательный,с пополнениями,8.3%
30/07/2021,Sber Bank,Депозит «Мобильный»,несрочный,с пополнениями,"0,25%"
30/07/2021,Sber Bank,Депозит «Стандартный»,срочный,без пополнения,"0,25%"
30/07/2021,Sber Bank,Депозит «Корпоративный»,несрочный,с пополнениями,"0,25%"
30/07/2021,Sber Bank,Депозит «Накопительный»,сберегательный,с пополнениями,"0,25%"
30/07/2021,Kaspi Bank,Каспи Депозит,несрочный,с пополнениями,9%
30/07/2021,КФГД,Несрочный депозит,несрочный,с пополнениями,"9,0%"
30/07/2021,КФГД,Несрочный депозит,несрочный,без пополнения,"9,0%"
30/07/2021,КФГД,Срочный депозит,срочный,с пополнениями,"10,3%"
30/07/2021,КФГД,Срочный депозит,срочный,без пополнения,"10,7%"
30/07/2021,КФГД,Сберегательный депозит,сберегательный,с пополнениями,"12,2%"
30/07/2021,КФГД,Сберегательный депозит,сберегательный,без пополнения,"13,9%"
30/07/2021,Jusan Bank,SANDYQ+,сберегательный,без пополнения,11%
30/07/2021,Jusan Bank,TULPAR,сберегательный,с пополнениями,8.7%
30/07/2021,Jusan Bank,AQYL,сберегательный,с пополнениями,8.3%
30/07/2021,Sber Bank,Депозит «Мобильный»,несрочный,с пополнениями,"0,25%"
30/07/2021,Sber Bank,Депозит «Стандартный»,срочный,без пополнения,"0,25%"
30/07/2021,Sber Bank,Депозит «Корпоративный»,несрочный,с пополнениями,"0,25%"
30/07/2021,Sber Bank,Депозит «Накопительный»,сберегательный,с пополнениями,"0,25%"
30/07/2021,Kaspi Bank,Каспи Депозит,несрочный,с пополнениями,9%
30/07/2021,КФГД,Несрочный депозит,несрочный,с пополнениями,"9,0%"
30/07/2021,КФГД,Несрочный депозит,несрочный,без пополнения,"9,0%"
30/07/2021,КФГД,Срочный депозит,срочный,с пополнениями,"10,3%"
30/07/2021,КФГД,Срочный депозит,срочный,без пополнения,"10,7%"
30/07/2021,КФГД,Сберегательный депозит,сберегательный,с пополнениями,"12,2%"
30/07/2021,КФГД,Сберегательный депозит,сберегательный,без пополнения,"13,9%"
